2023-08-07 17:55:34.752796339 +0200 CEST m=+0.002671269,2023-08-07 18:10:34.760385457 +0200 CEST m=+900.010260388,general,900000000000,8,6,12,4,8,2,0.25,100,30
2023-08-07 18:14:06.906014757 +0200 CEST m=+0.002938865,2023-08-07 18:29:06.966268824 +0200 CEST m=+900.063192902,general,900000000000,8,6,12,4,8,2,0.25,100,30
2023-08-07 18:32:38.973853262 +0200 CEST m=+0.002585507,2023-08-07 18:47:38.976323861 +0200 CEST m=+900.005056103,general,900000000000,8,6,12,4,8,2,0.25,100,3
2023-08-07 18:51:11.793173776 +0200 CEST m=+0.002688342,2023-08-07 19:06:11.794504929 +0200 CEST m=+900.004019468,general,900000000000,8,6,12,4,8,2,0.25,100,3
2023-08-07 19:09:44.181226517 +0200 CEST m=+0.002182561,2023-08-07 19:24:44.185944704 +0200 CEST m=+900.006900731,general,900000000000,8,6,12,4,8,2,0.25,100,3
2023-08-07 19:28:16.641303531 +0200 CEST m=+0.002051385,2023-08-07 19:43:16.643433827 +0200 CEST m=+900.004181689,general,900000000000,8,6,12,4,8,2,0.25,100,1
2023-08-07 19:46:48.867244482 +0200 CEST m=+0.002724109,2023-08-07 20:01:48.869167626 +0200 CEST m=+900.004647238,general,900000000000,8,6,12,4,8,2,0.25,100,1
2023-08-07 20:05:21.28548461 +0200 CEST m=+0.002189779,2023-08-07 20:20:21.346338147 +0200 CEST m=+900.063043297,general,900000000000,8,6,12,4,8,2,0.25,100,1
2023-08-07 20:23:53.989579194 +0200 CEST m=+0.002206822,2023-08-07 20:38:53.992759349 +0200 CEST m=+900.005386977,general,900000000000,12,6,12,4,8,2,0.25,100,1
2023-08-07 20:42:26.973691932 +0200 CEST m=+0.002285934,2023-08-07 20:57:26.975738916 +0200 CEST m=+900.004332900,general,900000000000,12,6,12,4,8,2,0.25,100,1
2023-08-07 21:01:00.104489766 +0200 CEST m=+0.002416959,2023-08-07 21:16:00.110525512 +0200 CEST m=+900.008452710,general,900000000000,12,6,12,4,8,2,0.25,100,1
2023-08-07 21:19:32.67919724 +0200 CEST m=+0.003043244,2023-08-07 21:34:32.682041532 +0200 CEST m=+900.005887541,general,900000000000,6,6,12,4,8,2,0.25,100,1
2023-08-07 21:38:05.285332242 +0200 CEST m=+0.002439619,2023-08-07 21:53:05.287198031 +0200 CEST m=+900.004305396,general,900000000000,6,6,12,4,8,2,0.25,100,1
2023-08-07 21:56:38.016485783 +0200 CEST m=+0.002728312,2023-08-07 22:11:38.018062771 +0200 CEST m=+900.004305279,general,900000000000,6,6,12,4,8,2,0.25,100,1
2023-08-07 22:15:10.594769546 +0200 CEST m=+0.002469391,2023-08-07 22:30:10.596971909 +0200 CEST m=+900.004671738,general,900000000000,8,3,12,4,8,2,0.25,100,1
2023-08-07 22:33:43.08703661 +0200 CEST m=+0.002387601,2023-08-07 22:48:43.090734045 +0200 CEST m=+900.006085027,general,900000000000,8,3,12,4,8,2,0.25,100,1
2023-08-07 22:52:16.087184842 +0200 CEST m=+0.002247454,2023-08-07 23:07:16.089950337 +0200 CEST m=+900.005012943,general,900000000000,8,3,12,4,8,2,0.25,100,1
2023-08-07 23:10:49.133609895 +0200 CEST m=+0.002201524,2023-08-07 23:25:49.134789298 +0200 CEST m=+900.003380887,general,900000000000,8,6,12,6,8,2,0.25,100,1
2023-08-07 23:29:22.222291008 +0200 CEST m=+0.002120295,2023-08-07 23:44:22.224209294 +0200 CEST m=+900.004038577,general,900000000000,8,6,12,6,8,2,0.25,100,1
2023-08-07 23:47:54.772638883 +0200 CEST m=+0.003000122,2023-08-08 00:02:54.776280544 +0200 CEST m=+900.006641784,general,900000000000,8,6,12,6,8,2,0.25,100,1
2023-08-08 00:06:27.451996105 +0200 CEST m=+0.002250129,2023-08-08 00:21:27.45372547 +0200 CEST m=+900.003979481,general,900000000000,8,6,12,4,16,2,0.25,100,1
2023-08-08 00:25:00.327435918 +0200 CEST m=+0.002169199,2023-08-08 00:40:00.330593228 +0200 CEST m=+900.005326506,general,900000000000,8,6,12,4,16,2,0.25,100,1
2023-08-08 00:43:33.251275269 +0200 CEST m=+0.002123595,2023-08-08 00:58:33.253630146 +0200 CEST m=+900.004478455,general,900000000000,8,6,12,4,16,2,0.25,100,1
2023-08-08 01:02:06.551195546 +0200 CEST m=+0.002348895,2023-08-08 01:17:06.555316953 +0200 CEST m=+900.006470268,general,900000000000,8,6,12,4,4,2,0.25,100,1
2023-08-08 01:20:39.17281189 +0200 CEST m=+0.002126070,2023-08-08 01:35:39.17475967 +0200 CEST m=+900.004073864,general,900000000000,8,6,12,4,4,2,0.25,100,1
2023-08-08 01:39:12.136566966 +0200 CEST m=+0.002158372,2023-08-08 01:54:12.138901553 +0200 CEST m=+900.004492961,general,900000000000,8,6,12,4,4,2,0.25,100,1
2023-08-08 01:57:45.401396088 +0200 CEST m=+0.002196156,2023-08-08 02:12:45.403332217 +0200 CEST m=+900.004132287,general,900000000000,8,6,12,4,8,4,0.25,100,1
2023-08-08 02:16:18.526385362 +0200 CEST m=+0.002147071,2023-08-08 02:31:18.528519792 +0200 CEST m=+900.004281480,general,900000000000,8,6,12,4,8,4,0.25,100,1
2023-08-08 02:34:51.552819225 +0200 CEST m=+0.003259503,2023-08-08 02:49:51.554817047 +0200 CEST m=+900.005257327,general,900000000000,8,6,12,4,8,4,0.25,100,1
2023-08-08 02:53:24.388509221 +0200 CEST m=+0.002427336,2023-08-08 03:08:24.391418539 +0200 CEST m=+900.005336655,general,900000000000,8,6,12,4,8,2,0.50,100,1
2023-08-08 03:11:57.365245635 +0200 CEST m=+0.002184021,2023-08-08 03:26:57.367307051 +0200 CEST m=+900.004245445,general,900000000000,8,6,12,4,8,2,0.50,100,1
2023-08-08 03:30:30.410064414 +0200 CEST m=+0.002574022,2023-08-08 03:45:30.413592289 +0200 CEST m=+900.006101893,general,900000000000,8,6,12,4,8,2,0.50,100,1
2023-08-08 03:49:03.316031917 +0200 CEST m=+0.002800615,2023-08-08 04:04:03.32468898 +0200 CEST m=+900.011457683,general,900000000000,8,6,12,4,8,2,1,100,1
2023-08-08 04:07:36.423836369 +0200 CEST m=+0.002129034,2023-08-08 04:22:36.425494793 +0200 CEST m=+900.003787451,general,900000000000,8,6,12,4,8,2,1,100,1
2023-08-08 04:26:09.317617152 +0200 CEST m=+0.002057617,2023-08-08 04:41:09.319293187 +0200 CEST m=+900.003733623,general,900000000000,8,6,12,4,8,2,1,100,1
2023-08-08 04:44:42.043614575 +0200 CEST m=+0.003495680,2023-08-08 04:59:42.048447342 +0200 CEST m=+900.008328457,general,900000000000,8,6,12,4,8,2,0.15,100,1
2023-08-08 05:03:15.644565477 +0200 CEST m=+0.002219342,2023-08-08 05:18:15.646538554 +0200 CEST m=+900.004192394,general,900000000000,8,6,12,4,8,2,0.15,100,1
2023-08-08 05:21:48.939410178 +0200 CEST m=+0.002422131,2023-08-08 05:36:48.941881438 +0200 CEST m=+900.004893398,general,900000000000,8,6,12,4,8,2,0.15,100,1
