,experiment,originalStart,originalEnd,topology,parameter,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,start,end,startUnix,endUnix
44,529,2023-11-08 07:36:49.182547400,2023-11-08 08:06:49.185827000,unl,informed6,20,16,24,8,16,8,0.5,1.0,2023-11-08 07:44:19.182547400,2023-11-08 07:59:19.185827000,1699429459,1699430359
46,417,2023-10-05 09:58:28.943634400,2023-10-05 10:28:28.947095300,unl,informed7,16,8,20,4,8,2,0.5,1.0,2023-10-05 10:05:58.943634400,2023-10-05 10:20:58.947095300,1696500358,1696501258
48,419,2023-10-05 11:05:36.310216200,2023-10-05 11:35:36.312899000,unl,informed7,16,8,20,4,8,2,0.5,1.0,2023-10-05 11:13:06.310216200,2023-10-05 11:28:06.312899000,1696504386,1696505286
50,532,2023-11-08 09:17:30.320639600,2023-11-08 09:47:30.326472000,unl,informed7,16,8,20,4,8,2,0.5,1.0,2023-11-08 09:25:00.320639600,2023-11-08 09:40:00.326472000,1699435500,1699436400
51,533,2023-11-08 09:51:04.795835800,2023-11-08 10:21:04.797659300,unl,informed7,16,8,20,4,8,2,0.5,1.0,2023-11-08 09:58:34.795835800,2023-11-08 10:13:34.797659300,1699437514,1699438414
52,420,2023-10-05 11:39:10.551681700,2023-10-05 12:09:10.557191100,unl,informed8,16,8,20,8,8,4,0.25,1.0,2023-10-05 11:46:40.551681700,2023-10-05 12:01:40.557191100,1696506400,1696507300
53,421,2023-10-05 12:12:45.331736500,2023-10-05 12:42:45.335763200,unl,informed8,16,8,20,8,8,4,0.25,1.0,2023-10-05 12:20:15.331736500,2023-10-05 12:35:15.335763200,1696508415,1696509315
55,534,2023-11-08 10:24:39.562368500,2023-11-08 10:54:39.565094500,unl,informed8,16,8,20,8,8,4,0.25,1.0,2023-11-08 10:32:09.562368500,2023-11-08 10:47:09.565094500,1699439529,1699440429
56,535,2023-11-08 10:58:14.305752700,2023-11-08 11:28:14.309170600,unl,informed8,16,8,20,8,8,4,0.25,1.0,2023-11-08 11:05:44.305752700,2023-11-08 11:20:44.309170600,1699441544,1699442444
61,537,2023-11-08 12:05:24.786164500,2023-11-08 12:35:24.791268900,unl,random1,16,8,20,4,8,2,0.25,1.0,2023-11-08 12:12:54.786164500,2023-11-08 12:27:54.791268900,1699445574,1699446474
62,538,2023-11-08 12:39:00.104447000,2023-11-08 13:09:00.107546500,unl,random1,16,8,20,4,8,2,0.25,1.0,2023-11-08 12:46:30.104447000,2023-11-08 13:01:30.107546500,1699447590,1699448490
63,539,2023-11-08 13:12:35.479730200,2023-11-08 13:42:35.485218300,unl,random1,16,8,20,4,8,2,0.25,1.0,2023-11-08 13:20:05.479730200,2023-11-08 13:35:05.485218300,1699449605,1699450505
64,426,2023-10-05 15:00:43.803852400,2023-10-05 15:30:43.806771200,unl,random2,8,6,16,4,8,2,0.25,1.0,2023-10-05 15:08:13.803852400,2023-10-05 15:23:13.806771200,1696518493,1696519393
66,540,2023-11-08 13:46:11.142732400,2023-11-08 14:16:11.144568800,unl,random2,8,6,16,4,8,2,0.25,1.0,2023-11-08 13:53:41.142732400,2023-11-08 14:08:41.144568800,1699451621,1699452521
67,541,2023-11-08 14:19:46.275803100,2023-11-08 14:49:46.278876400,unl,random2,8,6,16,4,8,2,0.25,1.0,2023-11-08 14:27:16.275803100,2023-11-08 14:42:16.278876400,1699453636,1699454536
71,436,2023-10-05 20:36:29.155744300,2023-10-05 21:06:29.214578200,unl,random5,8,6,16,4,8,2,0.25,0.25,2023-10-05 20:43:59.155744300,2023-10-05 20:58:59.214578200,1696538639,1696539539
72,437,2023-10-05 21:10:02.385220100,2023-10-05 21:40:02.403630300,unl,random5,8,6,16,4,8,2,0.25,0.25,2023-10-05 21:17:32.385220100,2023-10-05 21:32:32.403630300,1696540652,1696541552
74,551,2023-11-08 19:55:29.534658100,2023-11-08 20:25:29.557430900,unl,random5,8,6,16,4,8,2,0.25,0.25,2023-11-08 20:02:59.534658100,2023-11-08 20:17:59.557430900,1699473779,1699474679
76,439,2023-10-05 22:17:09.175139500,2023-10-05 22:47:09.178723200,unl,random6,16,8,20,6,8,2,0.25,1.0,2023-10-05 22:24:39.175139500,2023-10-05 22:39:39.178723200,1696544679,1696545579
80,554,2023-11-08 21:36:10.652546500,2023-11-08 22:06:10.663414000,unl,random6,16,8,20,6,8,2,0.25,1.0,2023-11-08 21:43:40.652546500,2023-11-08 21:58:40.663414000,1699479820,1699480720
82,442,2023-10-05 23:57:51.410202500,2023-10-06 00:27:51.413031600,unl,random7,10,8,16,4,8,4,0.25,1.0,2023-10-06 00:05:21.410202500,2023-10-06 00:20:21.413031600,1696550721,1696551621
83,555,2023-11-08 22:09:44.498131500,2023-11-08 22:39:44.508061300,unl,random7,10,8,16,4,8,4,0.25,1.0,2023-11-08 22:17:14.498131500,2023-11-08 22:32:14.508061300,1699481834,1699482734
86,447,2023-10-06 12:44:53.577371600,2023-10-06 13:14:53.584453300,general,reference,8,6,12,4,8,2,0.25,1.0,2023-10-06 12:52:23.577371600,2023-10-06 13:07:23.584453300,1696596743,1696597643
87,448,2023-10-06 13:18:27.160736500,2023-10-06 13:48:27.164275500,general,reference,8,6,12,4,8,2,0.25,1.0,2023-10-06 13:25:57.160736500,2023-10-06 13:40:57.164275500,1696598757,1696599657
88,449,2023-10-06 13:52:01.692042100,2023-10-06 14:22:01.702846800,general,reference,8,6,12,4,8,2,0.25,1.0,2023-10-06 13:59:31.692042100,2023-10-06 14:14:31.702846800,1696600771,1696601671
91,563,2023-11-09 18:01:13.628179400,2023-11-09 18:31:13.632110500,general,reference,8,6,12,4,8,2,0.25,1.0,2023-11-09 18:08:43.628179400,2023-11-09 18:23:43.632110500,1699553323,1699554223
92,450,2023-10-06 14:25:35.801281000,2023-10-06 14:55:35.805217800,general,informed,8,6,12,4,8,2,0.25,3.0,2023-10-06 14:33:05.801281000,2023-10-06 14:48:05.805217800,1696602785,1696603685
93,451,2023-10-06 14:59:10.199107200,2023-10-06 15:29:10.201878300,general,informed,8,6,12,4,8,2,0.25,3.0,2023-10-06 15:06:40.199107200,2023-10-06 15:21:40.201878300,1696604800,1696605700
95,564,2023-11-09 18:34:47.743353000,2023-11-09 19:04:47.745471800,general,informed,8,6,12,4,8,2,0.25,3.0,2023-11-09 18:42:17.743353000,2023-11-09 18:57:17.745471800,1699555337,1699556237
96,565,2023-11-09 19:08:23.876090700,2023-11-09 19:38:23.880384000,general,informed,8,6,12,4,8,2,0.25,3.0,2023-11-09 19:15:53.876090700,2023-11-09 19:30:53.880384000,1699557353,1699558253
98,453,2023-10-06 16:06:20.099025100,2023-10-06 16:36:20.102489400,general,informed0,16,8,20,16,8,4,0.5,1.0,2023-10-06 16:13:50.099025100,2023-10-06 16:28:50.102489400,1696608830,1696609730
99,454,2023-10-06 16:39:54.904614400,2023-10-06 17:09:54.907376500,general,informed0,16,8,20,16,8,4,0.5,1.0,2023-10-06 16:47:24.904614400,2023-10-06 17:02:24.907376500,1696610844,1696611744
103,569,2023-11-09 21:22:42.564020500,2023-11-09 21:52:42.568071300,general,informed0,16,8,20,16,8,4,0.5,1.0,2023-11-09 21:30:12.564020500,2023-11-09 21:45:12.568071300,1699565412,1699566312
105,570,2023-11-09 21:56:18.295990700,2023-11-09 22:26:18.298580000,general,informed1,16,8,20,16,8,4,0.5,3.0,2023-11-09 22:03:48.295990700,2023-11-09 22:18:48.298580000,1699567428,1699568328
108,460,2023-10-06 20:01:25.705215600,2023-10-06 20:31:25.707251500,general,informed2,16,8,20,16,8,4,0.5,0.5,2023-10-06 20:08:55.705215600,2023-10-06 20:23:55.707251500,1696622935,1696623835
109,461,2023-10-06 20:35:00.069783000,2023-10-06 21:05:00.072704400,general,informed2,16,8,20,16,8,4,0.5,0.5,2023-10-06 20:42:30.069783000,2023-10-06 20:57:30.072704400,1696624950,1696625850
111,575,2023-11-10 00:44:13.896315200,2023-11-10 01:14:13.900420300,general,informed2,16,8,20,16,8,4,0.5,0.5,2023-11-10 00:51:43.896315200,2023-11-10 01:06:43.900420300,1699577503,1699578403
112,462,2023-10-06 21:08:34.570872800,2023-10-06 21:38:34.573798700,general,informed3,6,4,8,2,2,2,0.25,1.0,2023-10-06 21:16:04.570872800,2023-10-06 21:31:04.573798700,1696626964,1696627864
113,463,2023-10-06 21:42:08.904760500,2023-10-06 22:12:08.915172000,general,informed3,6,4,8,2,2,2,0.25,1.0,2023-10-06 21:49:38.904760500,2023-10-06 22:04:38.915172000,1696628978,1696629878
117,578,2023-11-10 02:24:55.886095600,2023-11-10 02:54:55.888679700,general,informed3,6,4,8,2,2,2,0.25,1.0,2023-11-10 02:32:25.886095600,2023-11-10 02:47:25.888679700,1699583545,1699584445
119,468,2023-10-07 00:30:03.467104900,2023-10-07 01:00:03.470962800,general,informed5,6,4,8,2,2,4,0.25,0.5,2023-10-07 00:37:33.467104900,2023-10-07 00:52:33.470962800,1696639053,1696639953
120,469,2023-10-07 01:03:36.866537600,2023-10-07 01:33:36.925941100,general,informed5,6,4,8,2,2,4,0.25,0.5,2023-10-07 01:11:06.866537600,2023-10-07 01:26:06.925941100,1696641066,1696641966
121,470,2023-10-07 01:37:10.556397300,2023-10-07 02:07:10.560247700,general,informed5,6,4,8,2,2,4,0.25,0.5,2023-10-07 01:44:40.556397300,2023-10-07 01:59:40.560247700,1696643080,1696643980
124,471,2023-10-07 02:10:44.212735400,2023-10-07 02:40:44.213847200,general,informed6,20,16,24,8,16,8,0.5,1.0,2023-10-07 02:18:14.212735400,2023-10-07 02:33:14.213847200,1696645094,1696645994
125,472,2023-10-07 02:44:17.871404800,2023-10-07 03:14:17.873542500,general,informed6,20,16,24,8,16,8,0.5,1.0,2023-10-07 02:51:47.871404800,2023-10-07 03:06:47.873542500,1696647107,1696648007
126,473,2023-10-07 03:17:52.421712500,2023-10-07 03:47:52.424781900,general,informed6,20,16,24,8,16,8,0.5,1.0,2023-10-07 03:25:22.421712500,2023-10-07 03:40:22.424781900,1696649122,1696650022
130,474,2023-10-07 03:51:27.179646200,2023-10-07 04:21:27.181099400,general,informed7,16,8,20,4,8,2,0.5,1.0,2023-10-07 03:58:57.179646200,2023-10-07 04:13:57.181099400,1696651137,1696652037
131,475,2023-10-07 04:25:02.178909000,2023-10-07 04:55:02.182880500,general,informed7,16,8,20,4,8,2,0.5,1.0,2023-10-07 04:32:32.178909000,2023-10-07 04:47:32.182880500,1696653152,1696654052
132,476,2023-10-07 04:58:37.749202400,2023-10-07 05:28:37.752037000,general,informed7,16,8,20,4,8,2,0.5,1.0,2023-10-07 05:06:07.749202400,2023-10-07 05:21:07.752037000,1696655167,1696656067
136,477,2023-10-07 05:32:13.579558900,2023-10-07 06:02:13.580610500,general,informed8,16,8,20,8,8,4,0.25,1.0,2023-10-07 05:39:43.579558900,2023-10-07 05:54:43.580610500,1696657183,1696658083
137,478,2023-10-07 06:05:48.826808400,2023-10-07 06:35:48.829334500,general,informed8,16,8,20,8,8,4,0.25,1.0,2023-10-07 06:13:18.826808400,2023-10-07 06:28:18.829334500,1696659198,1696660098
139,591,2023-11-10 09:41:24.220021200,2023-11-10 10:11:24.222115600,general,informed8,16,8,20,8,8,4,0.25,1.0,2023-11-10 09:48:54.220021200,2023-11-10 10:03:54.222115600,1699609734,1699610634
141,593,2023-11-10 10:48:33.853937400,2023-11-10 11:18:33.856875600,general,informed8,16,8,20,8,8,4,0.25,1.0,2023-11-10 10:56:03.853937400,2023-11-10 11:11:03.856875600,1699613763,1699614663
144,482,2023-10-07 08:20:12.125965800,2023-10-07 08:50:12.128684200,general,random1,16,8,20,4,8,2,0.25,1.0,2023-10-07 08:27:42.125965800,2023-10-07 08:42:42.128684200,1696667262,1696668162
145,594,2023-11-10 11:22:09.759903200,2023-11-10 11:52:09.764330700,general,random1,16,8,20,4,8,2,0.25,1.0,2023-11-10 11:29:39.759903200,2023-11-10 11:44:39.764330700,1699615779,1699616679
146,595,2023-11-10 11:55:44.855474000,2023-11-10 12:25:44.863280700,general,random1,16,8,20,4,8,2,0.25,1.0,2023-11-10 12:03:14.855474000,2023-11-10 12:18:14.863280700,1699617794,1699618694
147,596,2023-11-10 12:29:20.297521000,2023-11-10 12:59:20.300816900,general,random1,16,8,20,4,8,2,0.25,1.0,2023-11-10 12:36:50.297521000,2023-11-10 12:51:50.300816900,1699619810,1699620710
148,483,2023-10-07 08:53:47.930643100,2023-10-07 09:23:47.934409000,general,random2,8,6,16,4,8,2,0.25,1.0,2023-10-07 09:01:17.930643100,2023-10-07 09:16:17.934409000,1696669277,1696670177
149,484,2023-10-07 09:27:23.556439400,2023-10-07 09:57:23.560838400,general,random2,8,6,16,4,8,2,0.25,1.0,2023-10-07 09:34:53.556439400,2023-10-07 09:49:53.560838400,1696671293,1696672193
151,597,2023-11-10 13:02:56.269023900,2023-11-10 13:32:56.272367400,general,random2,8,6,16,4,8,2,0.25,1.0,2023-11-10 13:10:26.269023900,2023-11-10 13:25:26.272367400,1699621826,1699622726
156,493,2023-10-07 14:29:35.572023100,2023-10-07 14:59:35.576838800,general,random5,8,6,16,4,8,2,0.25,0.25,2023-10-07 14:37:05.572023100,2023-10-07 14:52:05.576838800,1696689425,1696690325
157,494,2023-10-07 15:03:09.348594700,2023-10-07 15:33:09.357156200,general,random5,8,6,16,4,8,2,0.25,0.25,2023-10-07 15:10:39.348594700,2023-10-07 15:25:39.357156200,1696691439,1696692339
160,495,2023-10-07 15:36:43.563755800,2023-10-07 16:06:43.574077200,general,random6,16,8,20,6,8,2,0.25,1.0,2023-10-07 15:44:13.563755800,2023-10-07 15:59:13.574077200,1696693453,1696694353
161,496,2023-10-07 16:10:18.629697300,2023-10-07 16:40:18.631243300,general,random6,16,8,20,6,8,2,0.25,1.0,2023-10-07 16:17:48.629697300,2023-10-07 16:32:48.631243300,1696695468,1696696368
162,497,2023-10-07 16:43:53.669627200,2023-10-07 17:13:53.674995900,general,random6,16,8,20,6,8,2,0.25,1.0,2023-10-07 16:51:23.669627200,2023-10-07 17:06:23.674995900,1696697483,1696698383
165,611,2023-11-10 20:53:06.013127600,2023-11-10 21:23:06.017039800,general,random6,16,8,20,6,8,2,0.25,1.0,2023-11-10 21:00:36.013127600,2023-11-10 21:15:36.017039800,1699650036,1699650936
166,498,2023-10-07 17:17:27.957241900,2023-10-07 17:47:27.960899000,general,random7,10,8,16,4,8,4,0.25,1.0,2023-10-07 17:24:57.957241900,2023-10-07 17:39:57.960899000,1696699497,1696700397
167,499,2023-10-07 17:51:02.164634200,2023-10-07 18:21:02.168334600,general,random7,10,8,16,4,8,4,0.25,1.0,2023-10-07 17:58:32.164634200,2023-10-07 18:13:32.168334600,1696701512,1696702412
169,612,2023-11-10 21:26:40.850134000,2023-11-10 21:56:40.857718000,general,random7,10,8,16,4,8,4,0.25,1.0,2023-11-10 21:34:10.850134000,2023-11-10 21:49:10.857718000,1699652050,1699652950
171,614,2023-11-10 22:33:50.188265400,2023-11-10 23:03:50.190857000,general,random7,10,8,16,4,8,4,0.25,1.0,2023-11-10 22:41:20.188265400,2023-11-10 22:56:20.190857000,1699656080,1699656980
172,522,2023-11-08 03:42:06.647152900,2023-11-08 04:12:06.648611400,unl,informed4,6,4,8,2,2,4,0.25,3.0,2023-11-08 03:49:36.647152900,2023-11-08 04:04:36.648611400,1699415376,1699416276
175,558,2023-11-08 23:50:27.858756300,2023-11-09 00:20:27.860859500,unl,random8,10,8,16,4,8,2,0.15,1.0,2023-11-08 23:57:57.858756300,2023-11-09 00:12:57.860859500,1699487877,1699488777
177,579,2023-11-10 02:58:30.811333200,2023-11-10 03:28:30.815699500,general,informed4,6,4,8,2,2,4,0.25,3.0,2023-11-10 03:06:00.811333200,2023-11-10 03:21:00.815699500,1699585560,1699586460
179,600,2023-11-10 14:43:44.188616400,2023-11-10 15:13:44.192126600,general,random3,10,8,16,4,8,2,0.25,1.0,2023-11-10 14:51:14.188616400,2023-11-10 15:06:14.192126600,1699627874,1699628774
181,615,2023-11-10 23:07:25.288395200,2023-11-10 23:37:25.291274000,general,random8,10,8,16,4,8,2,0.15,1.0,2023-11-10 23:14:55.288395200,2023-11-10 23:29:55.291274000,1699658095,1699658995
183,618,2023-11-16 21:11:58.840566000,2023-11-16 21:41:58.842986600,unl,informed9,8,6,12,4,6,2,0.15,3.0,2023-11-16 21:19:28.840566000,2023-11-16 21:34:28.842986600,1700169568,1700170468
186,621,2023-11-16 22:52:35.024789700,2023-11-16 23:22:35.028885200,unl,informed10,16,6,20,4,6,4,0.5,1.0,2023-11-16 23:00:05.024789700,2023-11-16 23:15:05.028885200,1700175605,1700176505
188,623,2023-11-16 23:59:42.383066900,2023-11-17 00:29:42.386350400,unl,informed10,16,6,20,4,6,4,0.5,1.0,2023-11-17 00:07:12.383066900,2023-11-17 00:22:12.386350400,1700179632,1700180532
189,624,2023-11-17 00:33:15.846284500,2023-11-17 01:03:15.848564200,unl,informed11,16,8,20,8,8,4,0.15,3.0,2023-11-17 00:40:45.846284500,2023-11-17 00:55:45.848564200,1700181645,1700182545
192,629,2023-11-17 03:21:01.795935800,2023-11-17 03:51:01.856730100,unl,informed12,16,8,15,16,8,4,0.75,0.5,2023-11-17 03:28:31.795935800,2023-11-17 03:43:31.856730100,1700191711,1700192611
194,631,2023-11-17 04:28:07.276241400,2023-11-17 04:58:07.279102100,unl,informed13,5,4,7,3,2,2,0.25,1.0,2023-11-17 04:35:37.276241400,2023-11-17 04:50:37.279102100,1700195737,1700196637
195,632,2023-11-17 05:01:40.967966500,2023-11-17 05:31:40.970804900,unl,informed13,5,4,7,3,2,2,0.25,1.0,2023-11-17 05:09:10.967966500,2023-11-17 05:24:10.970804900,1700197750,1700198650
196,633,2023-11-17 05:35:14.952924500,2023-11-17 06:05:14.955933800,unl,informed14,6,4,8,7,5,4,0.25,3.0,2023-11-17 05:42:44.952924500,2023-11-17 05:57:44.955933800,1700199764,1700200664
199,638,2023-11-17 08:23:03.011212100,2023-11-17 08:53:03.048570800,unl,informed15,6,3,8,2,2,4,0.25,0.5,2023-11-17 08:30:33.011212100,2023-11-17 08:45:33.048570800,1700209833,1700210733
200,639,2023-11-17 08:56:36.113681900,2023-11-17 09:26:36.121069000,unl,informed16,21,16,24,5,16,8,0.5,1.0,2023-11-17 09:04:06.113681900,2023-11-17 09:19:06.121069000,1700211846,1700212746
202,642,2023-11-21 15:24:52.472076500,2023-11-21 15:54:52.475078000,general,informed9,8,6,12,4,6,2,0.15,3.0,2023-11-21 15:32:22.472076500,2023-11-21 15:47:22.475078000,1700580742,1700581642
206,646,2023-11-21 17:39:08.012912100,2023-11-21 18:09:08.016644000,general,informed10,16,6,20,4,6,4,0.5,1.0,2023-11-21 17:46:38.012912100,2023-11-21 18:01:38.016644000,1700588798,1700589698
207,647,2023-11-21 18:12:42.007965100,2023-11-21 18:42:42.011014200,general,informed10,16,6,20,4,6,4,0.5,1.0,2023-11-21 18:20:12.007965100,2023-11-21 18:35:12.011014200,1700590812,1700591712
210,653,2023-11-21 21:34:06.467254000,2023-11-21 22:04:06.481698800,general,informed12,16,8,15,16,8,4,0.75,0.5,2023-11-21 21:41:36.467254000,2023-11-21 21:56:36.481698800,1700602896,1700603796
213,656,2023-11-21 23:14:48.229464900,2023-11-21 23:44:48.236309300,general,informed13,5,4,7,3,2,2,0.25,1.0,2023-11-21 23:22:18.229464900,2023-11-21 23:37:18.236309300,1700608938,1700609838
214,657,2023-11-21 23:48:22.606898900,2023-11-22 00:18:22.609926200,general,informed14,6,4,8,7,5,4,0.25,3.0,2023-11-21 23:55:52.606898900,2023-11-22 00:10:52.609926200,1700610952,1700611852
217,662,2023-11-22 02:36:14.282373700,2023-11-22 03:06:14.293244200,general,informed15,6,3,8,2,2,4,0.25,0.5,2023-11-22 02:43:44.282373700,2023-11-22 02:58:44.293244200,1700621024,1700621924
218,663,2023-11-22 03:09:48.578904600,2023-11-22 03:39:48.586006900,general,informed16,21,16,24,5,16,8,0.5,1.0,2023-11-22 03:17:18.578904600,2023-11-22 03:32:18.586006900,1700623038,1700623938
