,identifier,topology,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,n_nodes,bandwidth
0,2,unl,8,6,12,4,8,2,0.25,0.5,23,236.9789648684941
1,3,unl,8,6,12,4,8,2,0.25,30.0,23,901.6403548093359
2,4,unl,8,6,12,4,8,2,0.25,3.0,23,744.3701735936042
3,6,unl,24,6,12,4,8,2,0.25,1.0,23,839.1468956479134
4,7,unl,12,6,12,4,8,2,0.25,1.0,23,923.2159815791833
5,8,unl,6,6,12,4,8,2,0.25,1.0,23,648.3981683968491
6,9,unl,8,2,12,4,8,2,0.25,1.0,23,692.6512221565558
7,11,unl,8,8,12,4,8,2,0.25,1.0,23,145.20871727638652
