,experiment,start,end,topology,parameter,d,dlo,dhi,dscore,dlazy,dout,gossipFactor,interval,startUnix,endUnix,count
252,638,2023-11-17 08:23:03.0112121,2023-11-17 08:53:03.0485708,unl,informed15,6,3,8,2,2,4,0.25,0.5,1700209383,1700211183,62237
253,639,2023-11-17 08:56:36.1136819,2023-11-17 09:26:36.1210690,unl,informed16,21,16,24,5,16,8,0.5,1.0,1700211396,1700213196,141685
254,640,2023-11-17 09:30:09.2402946,2023-11-17 10:00:09.2497084,unl,informed16,21,16,24,5,16,8,0.5,1.0,1700213409,1700215209,20699
256,642,2023-11-21 15:24:52.4720765,2023-11-21 15:54:52.4750780,general,informed9,8,6,12,4,6,2,0.15,3.0,1700580292,1700582092,115113
257,643,2023-11-21 15:58:26.2385739,2023-11-21 16:28:26.2470730,general,informed9,8,6,12,4,6,2,0.15,3.0,1700582306,1700584106,94376
258,644,2023-11-21 16:31:59.9970877,2023-11-21 17:02:00.0047743,general,informed9,8,6,12,4,6,2,0.15,3.0,1700584319,1700586120,90696
259,645,2023-11-21 17:05:33.6824106,2023-11-21 17:35:33.6886246,general,informed10,16,6,20,4,6,4,0.5,1.0,1700586333,1700588133,95091
260,646,2023-11-21 17:39:08.0129121,2023-11-21 18:09:08.0166440,general,informed10,16,6,20,4,6,4,0.5,1.0,1700588348,1700590148,124132
261,647,2023-11-21 18:12:42.0079651,2023-11-21 18:42:42.0110142,general,informed10,16,6,20,4,6,4,0.5,1.0,1700590362,1700592162,110577
262,648,2023-11-21 18:46:16.3191492,2023-11-21 19:16:16.3207097,general,informed11,16,8,20,8,8,4,0.15,3.0,1700592376,1700594176,149392
266,652,2023-11-21 21:00:32.4770009,2023-11-21 21:30:32.4890113,general,informed12,16,8,15,16,8,4,0.75,0.5,1700600432,1700602232,17167
267,653,2023-11-21 21:34:06.4672540,2023-11-21 22:04:06.4816988,general,informed12,16,8,15,16,8,4,0.75,0.5,1700602446,1700604246,86607
268,654,2023-11-21 22:07:40.2346165,2023-11-21 22:37:40.2385545,general,informed13,5,4,7,3,2,2,0.25,1.0,1700604460,1700606260,84236
269,655,2023-11-21 22:41:14.2028913,2023-11-21 23:11:14.2104657,general,informed13,5,4,7,3,2,2,0.25,1.0,1700606474,1700608274,69579
270,656,2023-11-21 23:14:48.2294649,2023-11-21 23:44:48.2363093,general,informed13,5,4,7,3,2,2,0.25,1.0,1700608488,1700610288,133510
271,657,2023-11-21 23:48:22.6068989,2023-11-22 00:18:22.6099262,general,informed14,6,4,8,7,5,4,0.25,3.0,1700610502,1700612302,70530
272,658,2023-11-22 00:21:57.0236579,2023-11-22 00:51:57.0268426,general,informed14,6,4,8,7,5,4,0.25,3.0,1700612517,1700614317,6104
275,661,2023-11-22 02:02:40.2343885,2023-11-22 02:32:40.2368451,general,informed15,6,3,8,2,2,4,0.25,0.5,1700618560,1700620360,7827
276,662,2023-11-22 02:36:14.2823737,2023-11-22 03:06:14.2932442,general,informed15,6,3,8,2,2,4,0.25,0.5,1700620574,1700622374,67766
277,663,2023-11-22 03:09:48.5789046,2023-11-22 03:39:48.5860069,general,informed16,21,16,24,5,16,8,0.5,1.0,1700622588,1700624388,82288
278,664,2023-11-22 03:43:22.2716142,2023-11-22 04:13:22.2769946,general,informed16,21,16,24,5,16,8,0.5,1.0,1700624602,1700626402,11172
