,experiment,_time,messageDuplicated,messageReceived,graft,prune,iwant,ihave
58,390,2023-10-04 19:01:40+00:00,6362.0,976.0,0.0,0.0,0.0,436.0
59,390,2023-10-04 19:01:50+00:00,6177.0,938.0,0.0,0.0,0.0,585.0
60,390,2023-10-04 19:02:00+00:00,6115.0,941.0,0.0,0.0,0.0,439.0
61,390,2023-10-04 19:02:10+00:00,6219.0,937.0,0.0,0.0,0.0,435.0
62,390,2023-10-04 19:02:20+00:00,5863.0,895.0,0.0,0.0,0.0,584.0
63,390,2023-10-04 19:02:30+00:00,6445.0,982.0,0.0,0.0,0.0,440.0
64,390,2023-10-04 19:02:40+00:00,3625.0,554.0,0.0,0.0,0.0,393.0
65,390,2023-10-04 19:06:20+00:00,6212.0,718.0,1496.0,222.0,0.0,793.0
66,390,2023-10-04 19:06:30+00:00,47863.0,6402.0,0.0,0.0,0.0,2405.0
67,390,2023-10-04 19:06:40+00:00,43490.0,5846.0,0.0,0.0,0.0,2853.0
68,390,2023-10-04 19:06:50+00:00,40514.0,5452.0,0.0,0.0,0.0,2737.0
69,390,2023-10-04 19:07:00+00:00,45090.0,6073.0,0.0,0.0,0.0,2285.0
70,390,2023-10-04 19:07:10+00:00,38333.0,5154.0,0.0,0.0,0.0,2610.0
71,390,2023-10-04 19:07:20+00:00,38328.0,5130.0,0.0,0.0,0.0,2533.0
72,390,2023-10-04 19:07:30+00:00,41129.0,5512.0,0.0,0.0,0.0,2187.0
73,390,2023-10-04 19:07:40+00:00,40939.0,5485.0,0.0,0.0,0.0,2619.0
74,390,2023-10-04 19:07:50+00:00,41230.0,5527.0,1.0,0.0,0.0,2520.0
75,390,2023-10-04 19:08:00+00:00,37666.0,5028.0,0.0,0.0,0.0,2206.0
76,390,2023-10-04 19:08:10+00:00,42555.0,5747.0,0.0,0.0,3.0,2551.0
77,390,2023-10-04 19:08:20+00:00,30707.0,4205.0,0.0,0.0,1.0,2247.0
78,390,2023-10-04 19:08:30+00:00,28685.0,3956.0,0.0,0.0,0.0,1786.0
79,390,2023-10-04 19:08:40+00:00,31701.0,4396.0,0.0,0.0,2.0,1945.0
80,390,2023-10-04 19:08:50+00:00,24666.0,3444.0,0.0,0.0,2.0,1829.0
81,390,2023-10-04 19:09:00+00:00,23132.0,3235.0,0.0,0.0,0.0,1491.0
82,390,2023-10-04 19:09:10+00:00,27459.0,3837.0,0.0,0.0,0.0,1749.0
83,390,2023-10-04 19:09:20+00:00,25191.0,3499.0,0.0,0.0,0.0,1718.0
84,390,2023-10-04 19:09:30+00:00,26982.0,3761.0,0.0,0.0,4.0,1491.0
85,390,2023-10-04 19:09:40+00:00,21111.0,2929.0,0.0,0.0,0.0,1673.0
86,390,2023-10-04 19:09:50+00:00,26263.0,3610.0,0.0,0.0,0.0,1593.0
87,390,2023-10-04 19:10:00+00:00,19948.0,2744.0,0.0,0.0,0.0,1379.0
88,390,2023-10-04 19:10:10+00:00,19978.0,2754.0,0.0,0.0,0.0,1605.0
89,390,2023-10-04 19:10:20+00:00,26592.0,3675.0,0.0,0.0,0.0,1600.0
90,390,2023-10-04 19:10:30+00:00,19975.0,2754.0,0.0,0.0,0.0,1366.0
91,390,2023-10-04 19:10:40+00:00,20271.0,2801.0,0.0,0.0,0.0,1592.0
92,390,2023-10-04 19:10:50+00:00,26031.0,3609.0,0.0,0.0,0.0,1595.0
93,390,2023-10-04 19:11:00+00:00,20466.0,2804.0,0.0,0.0,0.0,1370.0
94,390,2023-10-04 19:11:10+00:00,20535.0,2841.0,0.0,0.0,0.0,1605.0
95,390,2023-10-04 19:11:20+00:00,24258.0,3292.0,0.0,0.0,1.0,1466.0
96,390,2023-10-04 19:11:30+00:00,19123.0,2605.0,0.0,0.0,0.0,1243.0
97,390,2023-10-04 19:11:40+00:00,19142.0,2603.0,0.0,0.0,0.0,1477.0
98,390,2023-10-04 19:11:50+00:00,23490.0,3204.0,0.0,0.0,0.0,1444.0
99,390,2023-10-04 19:12:00+00:00,19648.0,2664.0,0.0,0.0,0.0,1247.0
100,390,2023-10-04 19:12:10+00:00,19634.0,2671.0,0.0,0.0,0.0,1471.0
101,390,2023-10-04 19:12:20+00:00,23942.0,3254.0,0.0,0.0,0.0,1438.0
102,390,2023-10-04 19:12:30+00:00,21989.0,2992.0,0.0,0.0,0.0,1247.0
103,390,2023-10-04 19:12:40+00:00,21800.0,2981.0,0.0,0.0,0.0,1468.0
104,390,2023-10-04 19:12:50+00:00,18657.0,2535.0,0.0,0.0,0.0,1441.0
105,390,2023-10-04 19:13:00+00:00,24648.0,3358.0,0.0,0.0,0.0,1241.0
106,390,2023-10-04 19:13:10+00:00,18713.0,2543.0,0.0,0.0,0.0,1483.0
107,390,2023-10-04 19:13:20+00:00,18668.0,2536.0,0.0,0.0,0.0,1432.0
108,390,2023-10-04 19:13:30+00:00,24470.0,3330.0,0.0,0.0,0.0,1257.0
109,390,2023-10-04 19:13:40+00:00,18893.0,2573.0,0.0,0.0,0.0,1470.0
110,390,2023-10-04 19:13:50+00:00,18485.0,2519.0,0.0,0.0,0.0,1439.0
111,390,2023-10-04 19:14:00+00:00,24252.0,3308.0,0.0,0.0,0.0,1244.0
112,390,2023-10-04 19:14:10+00:00,18872.0,2571.0,0.0,0.0,0.0,1464.0
113,390,2023-10-04 19:14:20+00:00,19309.0,2630.0,0.0,0.0,0.0,1446.0
114,390,2023-10-04 19:14:30+00:00,23309.0,3160.0,0.0,0.0,0.0,1246.0
115,390,2023-10-04 19:14:40+00:00,19925.0,2711.0,0.0,0.0,0.0,1470.0
116,390,2023-10-04 19:14:50+00:00,17794.0,2467.0,0.0,0.0,0.0,1335.0
117,390,2023-10-04 19:15:00+00:00,20205.0,2777.0,0.0,0.0,0.0,1146.0
118,390,2023-10-04 19:15:10+00:00,20260.0,2785.0,0.0,0.0,0.0,1255.0
119,390,2023-10-04 19:15:20+00:00,14558.0,2035.0,0.0,0.0,0.0,1213.0
120,390,2023-10-04 19:15:30+00:00,14605.0,2029.0,0.0,0.0,1.0,1034.0
121,390,2023-10-04 19:15:40+00:00,18587.0,2588.0,0.0,0.0,0.0,1204.0
122,390,2023-10-04 19:15:50+00:00,15179.0,2107.0,0.0,0.0,0.0,1216.0
123,390,2023-10-04 19:16:00+00:00,15145.0,2106.0,0.0,0.0,0.0,1037.0
124,390,2023-10-04 19:16:10+00:00,18414.0,2556.0,0.0,0.0,0.0,1196.0
125,390,2023-10-04 19:16:20+00:00,14167.0,1979.0,0.0,0.0,1.0,1145.0
126,390,2023-10-04 19:16:30+00:00,13681.0,1921.0,0.0,0.0,3.0,887.0
127,390,2023-10-04 19:16:40+00:00,13611.0,1913.0,0.0,0.0,0.0,995.0
128,390,2023-10-04 19:16:50+00:00,12350.0,1663.0,0.0,0.0,0.0,854.0
129,390,2023-10-04 19:17:00+00:00,11458.0,1552.0,0.0,0.0,0.0,714.0
130,390,2023-10-04 19:17:10+00:00,10598.0,1437.0,0.0,0.0,0.0,743.0
131,390,2023-10-04 19:17:20+00:00,11404.0,1555.0,0.0,0.0,1.0,750.0
132,390,2023-10-04 19:17:30+00:00,10759.0,1464.0,0.0,0.0,0.0,649.0
133,390,2023-10-04 19:17:40+00:00,8838.0,1225.0,0.0,0.0,0.0,725.0
134,390,2023-10-04 19:17:50+00:00,8610.0,1196.0,0.0,0.0,0.0,631.0
135,390,2023-10-04 19:18:00+00:00,9920.0,1394.0,0.0,0.0,0.0,553.0
136,390,2023-10-04 19:18:10+00:00,8470.0,1182.0,0.0,0.0,0.0,654.0
137,390,2023-10-04 19:18:20+00:00,8258.0,1156.0,0.0,0.0,0.0,644.0
138,390,2023-10-04 19:18:30+00:00,9919.0,1382.0,0.0,0.0,0.0,559.0
139,390,2023-10-04 19:18:40+00:00,8018.0,1132.0,0.0,0.0,0.0,663.0
140,390,2023-10-04 19:18:50+00:00,7485.0,1051.0,0.0,0.0,0.0,623.0
141,390,2023-10-04 19:19:00+00:00,9181.0,1292.0,0.0,0.0,0.0,551.0
142,390,2023-10-04 19:19:10+00:00,7668.0,1078.0,0.0,0.0,0.0,653.0
143,390,2023-10-04 19:19:20+00:00,8463.0,1181.0,0.0,0.0,0.0,639.0
144,390,2023-10-04 19:19:30+00:00,9079.0,1282.0,0.0,0.0,0.0,557.0
145,390,2023-10-04 19:19:40+00:00,8338.0,1172.0,0.0,0.0,0.0,656.0
146,390,2023-10-04 19:19:50+00:00,8490.0,1183.0,0.0,0.0,0.0,644.0
147,390,2023-10-04 19:20:00+00:00,7485.0,1047.0,0.0,0.0,0.0,560.0
148,390,2023-10-04 19:20:10+00:00,9205.0,1294.0,0.0,0.0,0.0,649.0
149,390,2023-10-04 19:20:20+00:00,7566.0,1065.0,0.0,0.0,1.0,623.0
150,390,2023-10-04 19:20:30+00:00,6376.0,878.0,0.0,0.0,0.0,451.0
151,390,2023-10-04 19:20:40+00:00,8132.0,1107.0,0.0,0.0,0.0,516.0
152,390,2023-10-04 19:20:50+00:00,6524.0,895.0,0.0,0.0,0.0,530.0
153,390,2023-10-04 19:21:00+00:00,6695.0,916.0,0.0,0.0,1.0,452.0
154,390,2023-10-04 19:21:10+00:00,8012.0,1097.0,0.0,0.0,0.0,526.0
155,390,2023-10-04 19:21:20+00:00,6922.0,948.0,0.0,0.0,0.0,527.0
156,390,2023-10-04 19:21:30+00:00,6706.0,921.0,0.0,0.0,0.0,449.0
157,390,2023-10-04 19:21:40+00:00,7664.0,1052.0,0.0,0.0,0.0,521.0
158,390,2023-10-04 19:21:50+00:00,6439.0,859.0,0.0,0.0,0.0,483.0
159,390,2023-10-04 19:22:00+00:00,1547.0,192.0,0.0,0.0,0.0,106.0
160,391,2023-10-04 19:25:30+00:00,1574.0,192.0,0.0,0.0,0.0,109.0
161,391,2023-10-04 19:25:40+00:00,6412.0,795.0,0.0,0.0,0.0,395.0
162,391,2023-10-04 19:25:50+00:00,4602.0,576.0,0.0,0.0,1.0,361.0
163,391,2023-10-04 19:26:00+00:00,4605.0,575.0,0.0,0.0,0.0,325.0
164,391,2023-10-04 19:26:10+00:00,6171.0,767.0,0.0,0.0,0.0,387.0
165,391,2023-10-04 19:26:20+00:00,4642.0,575.0,0.0,0.0,0.0,372.0
166,391,2023-10-04 19:26:30+00:00,4643.0,575.0,0.0,0.0,0.0,326.0
167,391,2023-10-04 19:26:40+00:00,6142.0,763.0,0.0,0.0,0.0,386.0
168,391,2023-10-04 19:26:50+00:00,5016.0,616.0,0.0,0.0,0.0,369.0
169,391,2023-10-04 19:27:00+00:00,4996.0,620.0,0.0,0.0,0.0,326.0
170,391,2023-10-04 19:27:10+00:00,5664.0,708.0,0.0,0.0,0.0,384.0
171,391,2023-10-04 19:27:20+00:00,5088.0,633.0,0.0,0.0,0.0,372.0
172,391,2023-10-04 19:27:30+00:00,4802.0,602.0,0.0,0.0,0.0,323.0
173,391,2023-10-04 19:27:40+00:00,2453.0,323.0,0.0,0.0,0.0,243.0
174,391,2023-10-04 19:27:50+00:00,2969.0,387.0,0.0,0.0,0.0,247.0
175,391,2023-10-04 19:28:00+00:00,2462.0,319.0,0.0,0.0,0.0,212.0
176,391,2023-10-04 19:28:10+00:00,2461.0,323.0,0.0,0.0,0.0,244.0
177,391,2023-10-04 19:28:20+00:00,3095.0,400.0,0.0,0.0,0.0,245.0
178,391,2023-10-04 19:28:30+00:00,2614.0,341.0,0.0,0.0,0.0,211.0
179,391,2023-10-04 19:28:40+00:00,2631.0,342.0,0.0,0.0,0.0,241.0
180,391,2023-10-04 19:28:50+00:00,2411.0,315.0,0.0,0.0,0.0,246.0
181,391,2023-10-04 19:29:00+00:00,2982.0,389.0,0.0,0.0,0.0,211.0
182,391,2023-10-04 19:29:10+00:00,2561.0,332.0,0.0,0.0,0.0,241.0
183,391,2023-10-04 19:29:20+00:00,2793.0,360.0,0.0,0.0,0.0,249.0
184,391,2023-10-04 19:29:30+00:00,2820.0,373.0,0.0,0.0,0.0,212.0
185,391,2023-10-04 19:29:40+00:00,3092.0,407.0,0.0,0.0,0.0,242.0
186,391,2023-10-04 19:29:50+00:00,3007.0,393.0,0.0,0.0,1.0,247.0
187,391,2023-10-04 19:30:00+00:00,2840.0,373.0,0.0,0.0,0.0,213.0
188,391,2023-10-04 19:30:10+00:00,2660.0,351.0,0.0,0.0,0.0,243.0
189,391,2023-10-04 19:30:20+00:00,3024.0,391.0,0.0,0.0,1.0,249.0
190,391,2023-10-04 19:30:30+00:00,2865.0,374.0,0.0,0.0,0.0,209.0
191,391,2023-10-04 19:30:40+00:00,2453.0,321.0,0.0,0.0,1.0,243.0
192,391,2023-10-04 19:30:50+00:00,3020.0,390.0,0.0,0.0,0.0,244.0
193,391,2023-10-04 19:31:00+00:00,2600.0,343.0,0.0,0.0,0.0,210.0
194,391,2023-10-04 19:31:10+00:00,2387.0,315.0,0.0,0.0,0.0,242.0
