8,6,12,4,6,2,0.15,100,3,informed9
8,6,12,4,6,2,0.15,100,3,informed9
8,6,12,4,6,2,0.15,100,3,informed9
16,6,20,4,6,4,0.5,100,1,informed10
16,6,20,4,6,4,0.5,100,1,informed10
16,6,20,4,6,4,0.5,100,1,informed10
16,8,20,8,8,4,0.15,100,3,informed11
16,8,20,8,8,4,0.15,100,3,informed11
16,8,20,8,8,4,0.15,100,3,informed11
16,8,15,16,8,4,0.75,100,0.5,informed12
16,8,15,16,8,4,0.75,100,0.5,informed12
16,8,15,16,8,4,0.75,100,0.5,informed12
5,4,7,3,2,2,0.25,100,1,informed13
5,4,7,3,2,2,0.25,100,1,informed13
5,4,7,3,2,2,0.25,100,1,informed13
6,4,8,7,5,4,0.25,100,3,informed14
6,4,8,7,5,4,0.25,100,3,informed14
6,4,8,7,5,4,4.25,100,3,informed14
6,3,8,2,2,4,0.25,100,0.5,informed15
6,3,8,2,2,4,0.25,100,0.5,informed15
6,3,8,2,2,4,0.25,100,0.5,informed15
21,16,24,5,16,8,0.5,100,1,informed16
21,16,24,5,16,8,0.5,100,1,informed16
21,16,24,5,16,8,0.5,100,1,informed16
